label,basis,rounds,ler,uncertainty,logical_error_per_round,logical_error_per_round_uncertainty,mean_detector_firing_rate,max_detector_firing_rate,mean_syndrome_weight,original_shots,kept_shots,postselection_fraction,logical_failures,shots,source_csv
baseline,memory_z,1,0.021,0.0032061659345704488,0.021,0.0032061659345704488,0.10412500000000001,0.1655,0.833,2000,2000,1.0,42,2000,results\sweep_d3_best_sim_rounds_sweep\20260608T144408Z\sweep_results.csv
baseline,memory_x,1,0.0265,0.0035915003828483716,0.0265,0.0035915003828483716,0.1034375,0.163,0.8275,2000,2000,1.0,53,2000,results\sweep_d3_best_sim_rounds_sweep\20260608T144408Z\sweep_results.csv
baseline,memory_z,3,0.1675,0.008349962574766428,0.06357406324069792,0.003653273422152934,0.18808333333333335,0.283,4.514,2000,2000,1.0,335,2000,results\sweep_d3_best_sim_rounds_sweep\20260608T144408Z\sweep_results.csv
baseline,memory_x,3,0.2025,0.008985926496472138,0.07945837073948592,0.00423412455937436,0.18958333333333335,0.283,4.55,2000,2000,1.0,405,2000,results\sweep_d3_best_sim_rounds_sweep\20260608T144408Z\sweep_results.csv
baseline,memory_z,5,0.367,0.010777546102893738,0.11634016855180973,0.006217912062047085,0.24762500000000004,0.341,9.905,2000,2000,1.0,734,2000,results\sweep_d3_best_sim_rounds_sweep\20260608T144408Z\sweep_results.csv
baseline,memory_x,5,0.358,0.010719981343267347,0.111282876455023,0.005869070862268594,0.24686250000000004,0.341,9.8745,2000,2000,1.0,716,2000,results\sweep_d3_best_sim_rounds_sweep\20260608T144408Z\sweep_results.csv
baseline,memory_z,7,0.468,0.011157419056394719,0.16238301567492247,0.01681667042263902,0.2949375,0.398,16.5165,2000,2000,1.0,936,2000,results\sweep_d3_best_sim_rounds_sweep\20260608T144408Z\sweep_results.csv
baseline,memory_x,7,0.4715,0.01116216264887768,0.1679237310594075,0.018579896369660842,0.2947053571428571,0.398,16.5035,2000,2000,1.0,943,2000,results\sweep_d3_best_sim_rounds_sweep\20260608T144408Z\sweep_results.csv
postselect25,memory_z,1,0.0,0.0,0.0,0.0,0.10412500000000001,0.1655,0.833,2000,1106,0.553,0,1106,results\sweep_d3_low_syndrome_sim_rounds_sweep\20260608T144511Z\sweep_results.csv
postselect25,memory_x,1,0.0,0.0,0.0,0.0,0.1034375,0.163,0.8275,2000,1117,0.5585,0,1117,results\sweep_d3_low_syndrome_sim_rounds_sweep\20260608T144511Z\sweep_results.csv
postselect25,memory_z,3,0.06775067750677506,0.009251127756942304,0.023688087494290022,0.003398056110554816,0.18808333333333335,0.283,4.514,2000,738,0.369,50,738,results\sweep_d3_low_syndrome_sim_rounds_sweep\20260608T144511Z\sweep_results.csv
postselect25,memory_x,3,0.07103825136612021,0.009494880574081552,0.02489872939167881,0.0035053862334553515,0.18958333333333335,0.283,4.55,2000,732,0.366,52,732,results\sweep_d3_low_syndrome_sim_rounds_sweep\20260608T144511Z\sweep_results.csv
postselect25,memory_z,5,0.2676864244741874,0.019360246007752907,0.07106555676567788,0.007149195929182627,0.24762500000000004,0.341,9.905,2000,523,0.2615,140,523,results\sweep_d3_low_syndrome_sim_rounds_sweep\20260608T144511Z\sweep_results.csv
postselect25,memory_x,5,0.27037773359840955,0.01980389015204509,0.07206401933576712,0.007381511632988098,0.24686250000000004,0.341,9.8745,2000,503,0.2515,136,503,results\sweep_d3_low_syndrome_sim_rounds_sweep\20260608T144511Z\sweep_results.csv
postselect25,memory_z,7,0.4368932038834951,0.019952108204864576,0.12798830422780472,0.016802395902742108,0.2949375,0.398,16.5165,2000,618,0.309,270,618,results\sweep_d3_low_syndrome_sim_rounds_sweep\20260608T144511Z\sweep_results.csv
postselect25,memory_x,7,0.44625407166123776,0.020061443694457056,0.13642410241593234,0.019387136114282666,0.2947053571428571,0.398,16.5035,2000,614,0.307,274,614,results\sweep_d3_low_syndrome_sim_rounds_sweep\20260608T144511Z\sweep_results.csv
best_combined,memory_z,1,0.0,0.0,0.0,0.0,0.10412500000000001,0.1655,0.833,2000,1106,0.553,0,1106,results\sweep_d3_best_combined_sim_rounds_sweep\20260608T203226Z\sweep_results.csv
best_combined,memory_x,1,0.0,0.0,0.0,0.0,0.1034375,0.163,0.8275,2000,1117,0.5585,0,1117,results\sweep_d3_best_combined_sim_rounds_sweep\20260608T203226Z\sweep_results.csv
best_combined,memory_z,3,0.06504065040650407,0.009077382193193413,0.022694733391750543,0.0033203733727273544,0.18808333333333335,0.283,4.514,2000,738,0.369,48,738,results\sweep_d3_best_combined_sim_rounds_sweep\20260608T203226Z\sweep_results.csv
best_combined,memory_x,3,0.06967213114754098,0.009410051979852488,0.02439491006336314,0.0034667121994838906,0.18958333333333335,0.283,4.55,2000,732,0.366,51,732,results\sweep_d3_best_combined_sim_rounds_sweep\20260608T203226Z\sweep_results.csv
best_combined,memory_z,5,0.25621414913957935,0.019088625892684414,0.066910452127239,0.006782251166913116,0.24762500000000004,0.341,9.905,2000,523,0.2615,134,523,results\sweep_d3_best_combined_sim_rounds_sweep\20260608T203226Z\sweep_results.csv
best_combined,memory_x,5,0.2644135188866799,0.019664128562450034,0.0698637183134867,0.007180594661023262,0.24686250000000004,0.341,9.8745,2000,503,0.2515,133,503,results\sweep_d3_best_combined_sim_rounds_sweep\20260608T203226Z\sweep_results.csv
best_combined,memory_z,7,0.42394822006472493,0.019878926685384875,0.11793894314312298,0.014266527630558927,0.2949375,0.398,16.5165,2000,618,0.309,262,618,results\sweep_d3_best_combined_sim_rounds_sweep\20260608T203226Z\sweep_results.csv
best_combined,memory_x,7,0.44625407166123776,0.020061443694457056,0.13642410241593234,0.019387136114282666,0.2947053571428571,0.398,16.5035,2000,614,0.307,274,614,results\sweep_d3_best_combined_sim_rounds_sweep\20260608T203226Z\sweep_results.csv
